id,prompt,label,reasoning,graph_id,story_id,rung,query_type,formal_form
24258,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Wibl has a direct effect on vubr and zuph. Zuph has a direct effect on uvzi. Vubr has a direct effect on uvzi. The overall probability of zuph is 40%. The probability of not zuph and uvzi is 17%. The probability of zuph and uvzi is 18%.",yes,"Let V1 = wibl; V3 = vubr; X = zuph; Y = uvzi.
V1->V3,V1->X,X->Y,V3->Y
P(Y | X)
P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)
P(X=1=1) = 0.40
P(Y=1, X=0=1) = 0.17
P(Y=1, X=1=1) = 0.18
0.18/0.40 - 0.17/0.60 = 0.16
0.16 > 0",diamondcut,nonsense7,1,correlation,P(Y | X)
24563,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Kraz has a direct effect on pexu and rukz. Hwax has a direct effect on pexu. Pexu has a direct effect on rukz. Kraz is unobserved. The overall probability of pexu is 51%. For those who are not pexu, the probability of rukz is 2%. For those who are pexu, the probability of rukz is 39%.",no,"Let V2 = hwax; V1 = kraz; X = pexu; Y = rukz.
V1->X,V2->X,V1->Y,X->Y
P(Y)
P(Y | X=1)*P(X=1) + P(Y | X=0)*P(X=0)
P(X=1) = 0.51
P(Y=1 | X=0) = 0.02
P(Y=1 | X=1) = 0.39
0.51*0.39 - 0.49*0.02 = 0.22
0.22 > 0",IV,nonsense8,1,marginal,P(Y)
10794,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Having a sister has a direct effect on the private and the corporal. The corporal has a direct effect on prisoner. The private has a direct effect on prisoner. The overall probability of having a sister is 54%. For people who do not have a sister, the probability of the prisoner's death is 50%. For people who have a sister, the probability of the prisoner's death is 69%.",no,"Let X = having a sister; V3 = the private; V2 = the corporal; Y = prisoner.
X->V3,X->V2,V2->Y,V3->Y
P(Y)
P(Y | X=1)*P(X=1) + P(Y | X=0)*P(X=0)
P(X=1) = 0.54
P(Y=1 | X=0) = 0.50
P(Y=1 | X=1) = 0.69
0.54*0.69 - 0.46*0.50 = 0.60
0.60 > 0",diamond,firing_squad,1,marginal,P(Y)
14203,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Kidney stone size has a direct effect on treatment and lip thickness. Treatment has a direct effect on lip thickness. The overall probability of receives treatment is 46%. The probability of receives no treatment and thick lips is 32%. The probability of receives treatment and thick lips is 18%.",no,"Let V1 = kidney stone size; X = treatment; Y = lip thickness.
V1->X,V1->Y,X->Y
P(Y | X)
P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)
P(X=1=1) = 0.46
P(Y=1, X=0=1) = 0.32
P(Y=1, X=1=1) = 0.18
0.18/0.46 - 0.32/0.54 = -0.21
-0.21 < 0",confounding,simpson_kidneystone,1,correlation,P(Y | X)
29577,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Zuph has a direct effect on glimx. Jyka has a direct effect on glimx. The overall probability of zuph is 10%. The probability of not zuph and glimx is 49%. The probability of zuph and glimx is 7%.",no,"Let V2 = jyka; X = zuph; Y = glimx.
X->Y,V2->Y
P(Y | X)
P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)
P(X=1=1) = 0.10
P(Y=1, X=0=1) = 0.49
P(Y=1, X=1=1) = 0.07
0.07/0.10 - 0.49/0.90 = 0.18
0.18 > 0",fork,nonsense9,1,correlation,P(Y | X)
24508,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Kraz has a direct effect on pexu and rukz. Pexu has a direct effect on hwax. Hwax has a direct effect on rukz. Kraz is unobserved. The overall probability of pexu is 81%. The probability of not pexu and rukz is 11%. The probability of pexu and rukz is 20%.",yes,"Let V1 = kraz; X = pexu; V3 = hwax; Y = rukz.
V1->X,X->V3,V1->Y,V3->Y
P(Y | X)
P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)
P(X=1=1) = 0.81
P(Y=1, X=0=1) = 0.11
P(Y=1, X=1=1) = 0.20
0.20/0.81 - 0.11/0.19 = -0.32
-0.32 < 0",frontdoor,nonsense8,1,correlation,P(Y | X)
4202,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gender has a direct effect on smoking and lung cancer. Smoking has a direct effect on tar deposit. Tar deposit has a direct effect on lung cancer. Gender is unobserved. The overall probability of smoking is 58%. The probability of nonsmoking and lung cancer is 23%. The probability of smoking and lung cancer is 27%.",no,"Let V1 = gender; X = smoking; V3 = tar deposit; Y = lung cancer.
V1->X,X->V3,V1->Y,V3->Y
P(Y | X)
P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)
P(X=1=1) = 0.58
P(Y=1, X=0=1) = 0.23
P(Y=1, X=1=1) = 0.27
0.27/0.58 - 0.23/0.42 = -0.10
-0.10 < 0",frontdoor,smoking_frontdoor,1,correlation,P(Y | X)
8974,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gender has a direct effect on smoking and lung cancer. Smoking has a direct effect on tar deposit. Tar deposit has a direct effect on lung cancer. Gender is unobserved. The overall probability of smoking is 37%. The probability of nonsmoking and lung cancer is 36%. The probability of smoking and lung cancer is 21%.",yes,"Let V1 = gender; X = smoking; V3 = tar deposit; Y = lung cancer.
V1->X,X->V3,V1->Y,V3->Y
P(Y | X)
P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)
P(X=1=1) = 0.37
P(Y=1, X=0=1) = 0.36
P(Y=1, X=1=1) = 0.21
0.21/0.37 - 0.36/0.63 = -0.02
-0.02 < 0",frontdoor,smoking_frontdoor,1,correlation,P(Y | X)
22960,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Hwax has a direct effect on gyzp and jyka. Jyka has a direct effect on lirg. Gyzp has a direct effect on lirg. The overall probability of jyka is 95%. For those who are not jyka, the probability of lirg is 46%. For those who are jyka, the probability of lirg is 33%.",no,"Let V1 = hwax; V3 = gyzp; X = jyka; Y = lirg.
V1->V3,V1->X,X->Y,V3->Y
P(Y)
P(Y | X=1)*P(X=1) + P(Y | X=0)*P(X=0)
P(X=1) = 0.95
P(Y=1 | X=0) = 0.46
P(Y=1 | X=1) = 0.33
0.95*0.33 - 0.05*0.46 = 0.33
0.33 > 0",diamondcut,nonsense4,1,marginal,P(Y)
20971,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Swoy has a direct effect on rixq and xevu. Rixq has a direct effect on zuph. Zuph has a direct effect on xevu. Swoy is unobserved. The overall probability of rixq is 10%. For those who are not rixq, the probability of xevu is 62%. For those who are rixq, the probability of xevu is 69%.",no,"Let V1 = swoy; X = rixq; V3 = zuph; Y = xevu.
V1->X,X->V3,V1->Y,V3->Y
P(Y)
P(Y | X=1)*P(X=1) + P(Y | X=0)*P(X=0)
P(X=1) = 0.10
P(Y=1 | X=0) = 0.62
P(Y=1 | X=1) = 0.69
0.10*0.69 - 0.90*0.62 = 0.63
0.63 > 0",frontdoor,nonsense0,1,marginal,P(Y)
28435,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Vubr has a direct effect on zuph and uvzi. Zuph has a direct effect on wibl. Wibl has a direct effect on uvzi. Vubr is unobserved. The overall probability of zuph is 58%. For those who are not zuph, the probability of uvzi is 64%. For those who are zuph, the probability of uvzi is 41%.",no,"Let V1 = vubr; X = zuph; V3 = wibl; Y = uvzi.
V1->X,X->V3,V1->Y,V3->Y
P(Y)
P(Y | X=1)*P(X=1) + P(Y | X=0)*P(X=0)
P(X=1) = 0.58
P(Y=1 | X=0) = 0.64
P(Y=1 | X=1) = 0.41
0.58*0.41 - 0.42*0.64 = 0.51
0.51 > 0",frontdoor,nonsense7,1,marginal,P(Y)
19738,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Unobserved confounders has a direct effect on having a brother and infant's birth weight. Cigarette tax has a direct effect on having a brother. Having a brother has a direct effect on infant's birth weight. Unobserved confounders is unobserved. The overall probability of having a brother is 26%. For infants who do not have a brother, the probability of normal infant birth weight is 26%. For infants who have a brother, the probability of normal infant birth weight is 61%.",no,"Let V2 = cigarette tax; V1 = unobserved confounders; X = having a brother; Y = infant's birth weight.
V1->X,V2->X,V1->Y,X->Y
P(Y)
P(Y | X=1)*P(X=1) + P(Y | X=0)*P(X=0)
P(X=1) = 0.26
P(Y=1 | X=0) = 0.26
P(Y=1 | X=1) = 0.61
0.26*0.61 - 0.74*0.26 = 0.35
0.35 > 0",IV,tax_smoke_birthWeight,1,marginal,P(Y)
4561,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Smoking has a direct effect on tar deposit. Tar deposit has a direct effect on lung cancer. The overall probability of smoking is 10%. For nonsmokers, the probability of lung cancer is 43%. For smokers, the probability of lung cancer is 64%.",no,"Let X = smoking; V2 = tar deposit; Y = lung cancer.
X->V2,V2->Y
P(Y)
P(Y | X=1)*P(X=1) + P(Y | X=0)*P(X=0)
P(X=1) = 0.10
P(Y=1 | X=0) = 0.43
P(Y=1 | X=1) = 0.64
0.10*0.64 - 0.90*0.43 = 0.45
0.45 > 0",chain,smoking_tar_cancer,1,marginal,P(Y)
13288,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Liking spicy food has a direct effect on parents' social status and child's intelligence. Other unobserved factors has a direct effect on parents' social status and child's intelligence. Parents' social status has a direct effect on child's intelligence. Other unobserved factors is unobserved. The overall probability of liking spicy food is 46%. For children who do not like spicy food, the probability of intelligent child is 41%. For children who like spicy food, the probability of intelligent child is 66%.",no,"Let V2 = other unobserved factors; X = liking spicy food; V3 = parents' social status; Y = child's intelligence.
X->V3,V2->V3,X->Y,V2->Y,V3->Y
P(Y)
P(Y | X=1)*P(X=1) + P(Y | X=0)*P(X=0)
P(X=1) = 0.46
P(Y=1 | X=0) = 0.41
P(Y=1 | X=1) = 0.66
0.46*0.66 - 0.54*0.41 = 0.53
0.53 > 0",arrowhead,nature_vs_nurture,1,marginal,P(Y)
27809,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Yupt has a direct effect on zupj. Zupj has a direct effect on muvq. The overall probability of yupt is 91%. The probability of not yupt and muvq is 1%. The probability of yupt and muvq is 13%.",no,"Let X = yupt; V2 = zupj; Y = muvq.
X->V2,V2->Y
P(Y | X)
P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)
P(X=1=1) = 0.91
P(Y=1, X=0=1) = 0.01
P(Y=1, X=1=1) = 0.13
0.13/0.91 - 0.01/0.09 = 0.03
0.03 > 0",chain,nonsense6,1,correlation,P(Y | X)
24490,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Kraz has a direct effect on pexu and rukz. Pexu has a direct effect on hwax. Hwax has a direct effect on rukz. Kraz is unobserved. The overall probability of pexu is 72%. For those who are not pexu, the probability of rukz is 27%. For those who are pexu, the probability of rukz is 30%.",no,"Let V1 = kraz; X = pexu; V3 = hwax; Y = rukz.
V1->X,X->V3,V1->Y,V3->Y
P(Y)
P(Y | X=1)*P(X=1) + P(Y | X=0)*P(X=0)
P(X=1) = 0.72
P(Y=1 | X=0) = 0.27
P(Y=1 | X=1) = 0.30
0.72*0.30 - 0.28*0.27 = 0.29
0.29 > 0",frontdoor,nonsense8,1,marginal,P(Y)
